bit_position,dimension,threshold,error_count,total,BER
518,172,2,172,881,0.1952326901248581
519,173,0,165,881,0.1872871736662883
520,173,1,251,881,0.2849035187287174
521,173,2,171,881,0.19409761634506242
522,174,0,184,881,0.20885357548240635
523,174,1,229,881,0.2599318955732123
524,174,2,178,881,0.20204313280363223
525,175,0,152,881,0.17253121452894438
526,175,1,228,881,0.25879682179341656
527,175,2,188,881,0.2133938706015891
528,176,0,164,881,0.18615209988649262
529,176,1,214,881,0.24290578887627695
530,176,2,178,881,0.20204313280363223
531,177,0,186,881,0.21112372304199772
532,177,1,235,881,0.2667423382519864
533,177,2,146,881,0.16572077185017026
534,178,0,172,881,0.1952326901248581
535,178,1,233,881,0.264472190692395
536,178,2,178,881,0.20204313280363223
537,179,0,191,881,0.21679909194097616
538,179,1,231,881,0.26220204313280365
539,179,2,177,881,0.20090805902383654
540,180,0,178,881,0.20204313280363223
541,180,1,251,881,0.2849035187287174
542,180,2,211,881,0.2395005675368899
543,181,0,155,881,0.17593643586833144
544,181,1,219,881,0.24858115777525538
545,181,2,194,881,0.22020431328036322
546,182,0,165,881,0.1872871736662883
547,182,1,226,881,0.2565266742338252
548,182,2,190,881,0.21566401816118047
549,183,0,194,881,0.22020431328036322
550,183,1,212,881,0.24063564131668558
551,183,2,182,881,0.20658342792281498
552,184,0,189,881,0.21452894438138478
553,184,1,247,881,0.28036322360953464
554,184,2,183,881,0.20771850170261066
555,185,0,191,881,0.21679909194097616
556,185,1,221,881,0.2508513053348468
557,185,2,175,881,0.19863791146424517
558,186,0,159,881,0.18047673098751418
559,186,1,214,881,0.24290578887627695
560,186,2,188,881,0.2133938706015891
561,187,0,148,881,0.16799091940976163
562,187,1,216,881,0.24517593643586832
563,187,2,186,881,0.21112372304199772
564,188,0,203,881,0.2304199772985244
565,188,1,252,881,0.28603859250851305
566,188,2,159,881,0.18047673098751418
567,189,0,194,881,0.22020431328036322
568,189,1,218,881,0.2474460839954597
569,189,2,162,881,0.18388195232690124
570,190,0,170,881,0.19296254256526674
571,190,1,228,881,0.25879682179341656
572,190,2,189,881,0.21452894438138478
573,191,0,193,881,0.21906923950056753
574,191,1,213,881,0.24177071509648126
575,191,2,161,881,0.18274687854710556
576,192,0,171,881,0.19409761634506242
577,192,1,236,881,0.26787741203178206
578,192,2,180,881,0.2043132803632236
579,193,0,177,881,0.20090805902383654
580,193,1,232,881,0.2633371169125993
581,193,2,194,881,0.22020431328036322
582,194,0,159,881,0.18047673098751418
583,194,1,247,881,0.28036322360953464
584,194,2,196,881,0.2224744608399546
585,195,0,164,881,0.18615209988649262
586,195,1,265,881,0.300794551645857
587,195,2,202,881,0.2292849035187287
588,196,0,151,881,0.1713961407491487
589,196,1,248,881,0.2814982973893303
590,196,2,200,881,0.22701475595913734
591,197,0,177,881,0.20090805902383654
592,197,1,247,881,0.28036322360953464
593,197,2,148,881,0.16799091940976163
594,198,0,163,881,0.18501702610669693
595,198,1,247,881,0.28036322360953464
596,198,2,199,881,0.22587968217934165
597,199,0,197,881,0.22360953461975028
598,199,1,237,881,0.2690124858115778
599,199,2,167,881,0.18955732122587968
600,200,0,180,881,0.2043132803632236
601,200,1,227,881,0.2576617480136209
602,200,2,157,881,0.1782065834279228
603,201,0,173,881,0.1963677639046538
604,201,1,234,881,0.2656072644721907
605,201,2,163,881,0.18501702610669693
606,202,0,167,881,0.18955732122587968
607,202,1,206,881,0.23382519863791146
608,202,2,192,881,0.21793416572077184
609,203,0,209,881,0.23723041997729852
610,203,1,220,881,0.24971623155505107
611,203,2,172,881,0.1952326901248581
612,204,0,189,881,0.21452894438138478
613,204,1,213,881,0.24177071509648126
614,204,2,173,881,0.1963677639046538
615,205,0,157,881,0.1782065834279228
616,205,1,256,881,0.2905788876276958
617,205,2,193,881,0.21906923950056753
618,206,0,166,881,0.188422247446084
619,206,1,231,881,0.26220204313280365
620,206,2,183,881,0.20771850170261066
621,207,0,157,881,0.1782065834279228
622,207,1,221,881,0.2508513053348468
623,207,2,184,881,0.20885357548240635
624,208,0,165,881,0.1872871736662883
625,208,1,231,881,0.26220204313280365
626,208,2,160,881,0.18161180476730987
627,209,0,189,881,0.21452894438138478
628,209,1,233,881,0.264472190692395
629,209,2,166,881,0.188422247446084
630,210,0,190,881,0.21566401816118047
631,210,1,220,881,0.24971623155505107
632,210,2,162,881,0.18388195232690124
633,211,0,183,881,0.20771850170261066
634,211,1,226,881,0.2565266742338252
635,211,2,178,881,0.20204313280363223
636,212,0,197,881,0.22360953461975028
637,212,1,241,881,0.2735527809307605
638,212,2,174,881,0.19750283768444948
639,213,0,182,881,0.20658342792281498
640,213,1,206,881,0.23382519863791146
641,213,2,200,881,0.22701475595913734
642,214,0,177,881,0.20090805902383654
643,214,1,218,881,0.2474460839954597
644,214,2,190,881,0.21566401816118047
645,215,0,175,881,0.19863791146424517
646,215,1,214,881,0.24290578887627695
647,215,2,202,881,0.2292849035187287
648,216,0,183,881,0.20771850170261066
649,216,1,205,881,0.23269012485811577
650,216,2,162,881,0.18388195232690124
651,217,0,143,881,0.1623155505107832
652,217,1,228,881,0.25879682179341656
653,217,2,209,881,0.23723041997729852
654,218,0,153,881,0.17366628830874006
655,218,1,228,881,0.25879682179341656
656,218,2,196,881,0.2224744608399546
657,219,0,158,881,0.1793416572077185
658,219,1,213,881,0.24177071509648126
659,219,2,183,881,0.20771850170261066
660,220,0,181,881,0.2054483541430193
661,220,1,238,881,0.27014755959137343
662,220,2,182,881,0.20658342792281498
663,221,0,177,881,0.20090805902383654
664,221,1,236,881,0.26787741203178206
665,221,2,163,881,0.18501702610669693
666,222,0,181,881,0.2054483541430193
667,222,1,248,881,0.2814982973893303
668,222,2,186,881,0.21112372304199772
669,223,0,182,881,0.20658342792281498
670,223,1,222,881,0.25198637911464244
671,223,2,179,881,0.20317820658342792
672,224,0,186,881,0.21112372304199772
673,224,1,226,881,0.2565266742338252
674,224,2,184,881,0.20885357548240635
675,225,0,173,881,0.1963677639046538
676,225,1,235,881,0.2667423382519864
677,225,2,186,881,0.21112372304199772
